순번,업체명,카테고리명,Icon,Color,국내외,시도명,시군구명,전체주소,경도,위도,전화번호,홈페이지주소,게시물링크
1,수산항물회,음식점,cutlery,blue,국내,강원,양양군,강원특별자치도 양양군 손양면 선사유적로 185,38.048128,128.68615,,,https://blog.naver.com/tingi40/223577298653
2,히츠지야,음식점,cutlery,blue,국내,경기,화성시,경기도 화성시 동탄지성로 12 1층,37.20522,127.073258,,,https://blog.naver.com/tingi40/223581531638
3,꽃피면 달이생각나고,음식점,cutlery,blue,국내,경기,용인시,경기 용인시 처인구 금령로93번길 9-1,37.236453,127.206177,,,https://blog.naver.com/tingi40/223582625916
4,마롱베이커리,카페,leaf,red,국내,경기,화성시,경기 화성시 정남면 세자로 251 마롱베이커리,37.190265,126.978366,,,https://blog.naver.com/tingi40/223585330144
5,화개장터,음식점,cutlery,blue,국내,경기,수원시,경기 수원시 팔달구 덕영대로 924 6층,37.266494,127.000203,,,https://blog.naver.com/tingi40/223586227816
6,청와옥,음식점,cutlery,blue,국내,서울,서초구,"서울 서초구 강남대로8길 3 1층, 2층",37.468171,127.041515,,,https://blog.naver.com/tingi40/223587130580
7,권선동황소곱창 3호점,음식점,cutlery,blue,국내,경기,화성시,경기 화성시 동탄문화센터로 65 118호 권선동 황소곱창 3호점,37.200317,127.072289,,,https://blog.naver.com/tingi40/223587918161
8,백미헌,음식점,cutlery,blue,국내,경기,오산시,경기 오산시 문시로 133 1동,37.190046,127.061444,,,https://blog.naver.com/tingi40/223590822940
9,초원식당,음식점,cutlery,blue,국내,충남,태안군,충남 태안군 안면읍 백사장2길 28,36.585556,126.317269,,,https://blog.naver.com/tingi40/223592484530
10,수가성,음식점,cutlery,blue,국내,강원,원주시,강원 원주시 남원로612번길 1,37.337535,127.951441,,,https://blog.naver.com/tingi40/223595516009
11,예지현,음식점,cutlery,blue,국내,강원,원주시,강원 원주시 문막읍 건등로 18 1층 예지현,37.312453,127.818571,,,https://blog.naver.com/tingi40/223599269844
12,장어의 힘터,음식점,cutlery,blue,국내,강원,원주시,강원 원주시 문막읍 원문로 1379,37.328467,127.84839,,,https://blog.naver.com/tingi40/223600445402
13,양푼이 등갈비,음식점,cutlery,blue,국내,경기,화성시,경기 화성시 동탄원천로 157 1층 113호,37.20695,127.074104,,,https://blog.naver.com/tingi40/223602283058
14,교대이층집,음식점,cutlery,blue,국내,경기,화성시,경기 화성시 동탄중심상가1길 27 2층 202호,37.20118,127.072548,,,https://blog.naver.com/tingi40/223603178457
15,오뜨아르,음식점,cutlery,blue,국내,경기,용인시,경기 용인시 기흥구 기흥단지로121번길 9 오뜨아르,37.226846,127.10924,,,https://blog.naver.com/tingi40/223605645464
16,다복식당,음식점,cutlery,blue,국내,전남,목포시,전남 목포시 원형동로 43 1층,34.79971,126.433286,,,https://blog.naver.com/tingi40/223607593287
17,모아음식점,음식점,cutlery,blue,국내,전남,목포시,전남 목포시 수강로12번길 23-1 모아음식점,34.78755,126.386957,,,https://blog.naver.com/tingi40/223608779731
18,갯내음,음식점,cutlery,blue,국내,전남,목포시,전남 목포시 신흥로59번길 11 갯내음,34.804917,126.426208,,,https://blog.naver.com/tingi40/223610444921
19,백성식당,음식점,cutlery,blue,국내,전남,목포시,전남 목포시 번화로 68,34.787652,126.386087,,,https://blog.naver.com/tingi40/223611742860
20,선경준치회집,음식점,cutlery,blue,국내,전남,목포시,전남 목포시 해안로57번길 2,34.78079,126.370766,,,https://blog.naver.com/tingi40/223614024458
21,철따라 돌게장,음식점,cutlery,blue,국내,전남,목포시,전남 목포시 동명로 60-2 1층,34.792736,126.395933,,,https://blog.naver.com/tingi40/223615699070
22,코롬방 1949,카페,leaf,red,국내,전남,목포시,전남 목포시 영산로75번길 7,34.789955,126.384496,,,https://blog.naver.com/tingi40/223617081716
23,조선부뚜막,음식점,cutlery,blue,국내,경기,평택시,"경기 평택시 고덕중앙로 200-19 1층 101, 102, 103호",37.047349,127.045572,,,https://blog.naver.com/tingi40/223618714937
24,서울감자탕,음식점,cutlery,blue,국내,경기,평택시,경기 평택시 고덕국제3길 23 1층 101호,37.048645,127.047522,,,https://blog.naver.com/tingi40/223620211832
25,함경도집,음식점,cutlery,blue,국내,대전,동구,대전 동구 대전로791번길 32,36.329721,127.431498,,,https://blog.naver.com/tingi40/223622338206
26,명월집,음식점,cutlery,blue,국내,인천,중구,인천 중구 신포로23번길 41,37.472124,126.622758,,,https://blog.naver.com/tingi40/223625258518
27,전라도 대왕조개구이,음식점,cutlery,blue,국내,인천,중구,인천 중구 월미문화로 27 1층 전라도대왕조개구이,37.47593,126.597978,,,https://blog.naver.com/tingi40/223627795380
